"ID","cohort","Cer(d18:0_24:1)","Cer(d20:0_22:1)","Cer(d20:1_14:0)","Cer(d20:1_16:0)","Cer(d20:1_22:0)","Cer(d24:0_19:1)","Cer(d42:3)","Cer(m20:1_22:0","Cer(m42:1","Hex1Cer(d34:1","Hex1Cer(d34:1)","Hex2Cer(d34:1)","LPE(18:2)-H","LPE(20:4)-H","PC(14:0_20:4)","PC(16:0_18:2)","PC(16:0e_20:4)","PC(16:1e_18:2)","PC(16:1e_20:4)","PC(17:0_18:2)","PC(18:0_18:1)","PC(18:0_18:2)","PC(18:1_18:1)","PC(18:1_22:6)","PC(18:2_18:2)","PC(34:4D8)","PC(8:0e_10:0)","PE(16:0_20:4)-H","PE(16:0_22:6)-H","PE(16:1e_20:4)-H","PE(18:0_20:4)-H","PE(18:1_20:4)-H","PE(18:2e_20:4)-H","PI(16:0_18:2)-H","PI(16:0_20:4)-H","PI(18:0_18:2)-H","PI(18:0_20:4)-H","PI(22:0_18:3)-H","SM(d36:2D9)"
"001-6",2020,3228969.946,2775710.04,440415.9747,24095.09742,487425.9661,757217.8657,37086.72998,591526.3019,127405.0364,218153.6096,759342.4359,919932.269,248480.0741,446920.6616,600325.5558,20789575.88,495380.9745,215856.6732,388599.0954,173934.279,1846.731074,182932.2273,3499821.994,240138.2313,6954036.457,293519.7935,1255000.433,431808.1532,479613.4511,941882.0695,133873.4028,170749.162,67954019.54,207052.1538,341282.9803,396850.3581,2429343.269,385821.9406,7918045.686
"004-8",2020,814037.2091,1727188.304,135295.0119,11775.2209,102872.4367,83290.44214,54326.6317,351521.73,97569.05871,100224.51629823,577710.3776,190791.1684,5657.235113,206166.4067,26327.47196053,162646.9639,66624.29889949,1957351.85601901,102367.53947167,8433.739284,92543.68604,2707923.755,2008351.909,266959.4144,4475268.924,12517.35191,552846.6036,152189.2546,332023.101,78655.60376,241440.8079,43679.18389,26654960.9840977,66334.17552,33714.94087,86147.42379,429330.1387,190005.9132,3662747.348
"005-8",2020,2058443.062,361016.4883,259089.0329,15523.29861,205733.6016,306770.8412,95842.78641,962781.2018,5083.394846,221043.6559,1334320.357,347167.9581,332197.3117,306910.4396,39874.310857806,328544.6997,2666.7615,1816871.34160491,1597.9908,72074.6256,116639.3615,3926655.496,6864252.995,195725.16462232,5603818.85,47610.53468,396120.5768,1563787.234,9320.694629,146164.4205,248776.8163,10439.5508,19535096.694081,135060.1089,55244.2787,174330.4069,476637.2588,597538.3665,610224.9777
"006-8",2020,7801666.855,627231.2685,354327.6081,36290.92809,78804.41121,857775.4021,59658.45216,105785.6615,35922.95241,128014.6357,361201.8992,486752.4581,231003.5895,917080.1727,132970.45075245,494888.8881,20866.4103,90224.8242,143126.43803978,169361.3472,12503.14445,21851.29654,635070.4016,863828.4195,17059297.77,319984.512,425471.1825,847024.7793,716720.2201,656746.5112,730641.9008,157698.578,116630894.3,503723.8144,691433.903,950020.215,4386157.868,345615.5437,9027559.624
"009-10",2020,3342600.731,460663.8608,541288.4213,115323.8544,96733.95104,216036.5792,33840.10889,2363908.593,37042.33065,281456.3845,1160376.214,333239.7881,124034.2933,320652.0967,28961.270410986,1010470.274,63171.98224684,18423.8757,83454.55917903,73272.36864,133550.5427,158244.0833,348248.7045,473038.6854,5258828.569,683832.8679,396983.439,156207.8157,32642.03368,137888.6691,207534.223,35202.68138,25829726.6851257,100858.5572,62053.53868,188015.5081,826346.8836,321947.6153,6437688.024
"010-10",2020,1638014.747,4091464.984,448602.6365,30648.8596,189191.2456,287968.3086,97532.61157,669710.8589,207712.7556,59276.82951,538376.7628,691660.6286,431255.3017,500674.4984,44665.642119606,1761441.34920954,78048.79196629,1832827.24543581,156225.116292389,104297.78455827,279692.9822,631344.7765,1218843.887,104301.75539976,175478.5025,237094.6725,13603.7561,55628.35136,22645.05992,187431.60055566,8814.525641,59612.41880292,24325858.3446224,162266.6212,166700.0525,387399.3343,1378418.035,245545.9671,763454.97345637
"011-11",2020,2789023.861,4493307.134,605860.3228,35743.93268,143569.0556,169441.2654,78511.54342,910565.81,180360.8779,74210.02192,281963.2963,657346.7341,264251.0636,546806.113,46427.71728134,1687842.334,71888.92481189,1786102.65612514,133786.28515051,92529.64862259,101242.0062,137636.2477,1698141.731,152689.70091029,4201780.4700712,127937.0422,25495.64385,157367.3863,621990.245,206539.42746648,19432.32763,23878.04143,28885356.4512105,196346.5793,239664.8045,411363.3646,1600950.12,386912.57,1743436.5209046
"012-11",2020,1878906.853,1335643.921,904404.6498,54568.40865,186625.2569,367495.4506,43059.89146,261461.9022,198934.1044,163340.6831,668169.4747,1363157.752,453713.4246,444973.9081,89456.33189595,2713890.585,110445.670722,2189829.17472668,184051.588580068,15534.81068,32511.73008,3378224.092,233841.0832,49513.86903,4823585.623,275810.645,276248.67680406,229490.8899,118472.4201,25547.95376,104979.0935,86295.11423,163279907.5,456892.0492,521070.483,1666546.468,3385127.185,173076.169,1320158.0379922
"013-11",2020,5279250.864,1621194.084,533582.5883,22495.21285,31937.30453,797903.9481,124424.1607,493634.6893,405907.06,53997.21452,1556402.247,307291.8113,292017.5585,236315.5349,49259.95828744,2539903.293,76583.33320529,4540713.71032919,195957.170679731,90646.1681764201,49065.11435,843086.2275,461123.592,147363.75812094,140882.9419,353423.1941,430910.123581208,89769.01455,1140914.536,238708.64178394,42714.98505,70557.25394412,42617617.5405213,470503.0862,396626.2958,507237.5652,1582275.283,427244.9518,1708998.71082227
"015-13",2020,1200129.486,873924.8276,450438.5177,38436.67434,66113.47904,231157.3187,36783.63009,225984.5159,105156.3513,85494.23557,773917.6793,1067226.973,204255.1075,475934.9358,113174.83132021,3418838.991,118329.28313402,1475618.84654914,164960.478845037,31041.00115,5217.424337,3879338.757,743939.9352,44908.9149,2897600.667,148757.9566,153114.9996,273606.919,154938.6458,91143.87334,331163.9948,170010.6853,91523822.46,509514.6951,461498.2138,1259714.487,3582323.233,235985.1742,1365528.60751068
"016-13",2020,1464785.118,3860561.127,531621.4633,21800.42232,190184.6358,358108.2101,28441.02893,236257.4073,172123.6372,86667.44394,457301.016,721814.8868,429550.0844,463422.8182,39303.19935508,1307478.314,77973.55930326,1437089.51006158,146686.427411889,9494.618033,48591.99425,7106332.519,900317.88,72564.32774,1976356.141,168940.0775,109287.6712,455246.88,73611.37701,57508.33059,211815.0258,35902.17509,29849871.0385825,532437.6582,360389.258,918738.5291,2578052.442,134751.4572,130772.0249
